criterion,base_weight,score_low,score_high,score_range,top_ranked_techs_under_perturbation,rank_fragile
ip_potential,0.08,75.86,78.54,2.68,,False
competitive_intensity,0.05,76.39,78.01,1.62,,False
strategic_fit,0.15,76.39,78.0,1.61,,False
market_growth_potential,0.12,76.58,77.82,1.24,,False
technical_feasibility,0.12,76.58,77.82,1.24,,False
cost_numeric,0.1,76.69,77.7,1.01,,False
sustainability_impact,0.07,76.79,77.61,0.82,,False
timeline_years_numeric,0.08,76.92,77.47,0.55,,False
revenue_numeric,0.13,77.13,77.26,0.13,,False
safety_regulatory_complexity,0.1,77.15,77.25,0.1,,False
